country,ncd_share_1990,ncd_share_2000,ncd_share_2010,ncd_share_2023,delta_ncd_share_pp,aapc_ncd_share,aapc_ncd_share_lo,aapc_ncd_share_hi,aapc_ncd_share_n_bkps,ncd_share_expected_2023,obs_vs_expected_ratio_2023
Brunei,76.11659158671166,78.7945037397907,80.24990537780168,81.26307285134496,5.1464812646332945,0.22497050611989255,0.169911489531116,0.2800597862405052,2,77.30375892592232,1.0512176119303165
Singapore,78.04675389967127,79.22172374651193,79.56448277227469,79.28415827647095,1.2374043767996739,0.09549251102414225,0.044099296689026346,0.14691212634139195,1,83.87540014403909,0.9452611628715498
Malaysia,67.39564380283922,71.98046474715956,72.48321560972057,75.04206721646014,7.646423413620923,0.8428073115164469,0.6787316824133693,1.0071503338575427,3,74.69977047907338,1.0045822997204878
Vietnam,52.99357184279284,58.84677088472648,65.16646588872203,70.66730954640697,17.67373770361413,1.0943871515546322,1.0356999106573284,1.153108481316023,3,67.08401324738179,1.053415055623033
Thailand,61.32461878562575,61.73344976189057,66.49912809951391,68.37638266871126,7.051763883085506,0.4545616939936048,0.35029507703592255,0.5589366467305013,3,70.5539926061801,0.9691355533963347
Indonesia,46.916743460221824,55.17706019402696,62.9581471699717,68.03690101820537,21.120157557983546,0.7738819372054673,0.4585521497956657,1.0902015146599942,3,69.21878945499107,0.9829253235127117
Philippines,55.08924653433594,62.46890859686645,65.13844794157743,67.343097695273,12.25385116093706,0.9849167140583592,0.8025315746079231,1.1676318485850379,3,69.65055742534133,0.9668709079242948
Myanmar,44.73297886676415,51.99316051415097,59.20150636130349,65.38636829533303,20.65338942856888,0.6204397757844538,0.5259746076338612,0.7149937137084894,3,62.188019333810196,1.0514303075702551
Cambodia,37.28145009262366,40.83213426741728,54.994477869587854,63.828602369233565,26.547152276609907,1.8233300539153063,1.5752470029190002,2.072019012374371,3,60.53130344866595,1.0544726237947926
Timor-Leste,36.12823750797305,44.40753124040688,52.000875981548525,59.58314066090546,23.45490315293241,0.7899734281438642,0.5899713990868971,0.9903731192248744,3,61.57877317129889,0.9675922008897122
Lao PDR,28.73020505168182,37.29389509293426,49.742781171372165,58.64911008662491,29.918905034943087,2.299488574014208,2.1436504644882337,2.455564441993796,3,62.95900323498919,0.9315444507233069
