year,cause_group,probability_30q70,probability_30q70_pct
1990,CMNN,0.06181513762294011,6.181513762294011
1991,CMNN,0.05927994811062809,5.927994811062809
1992,CMNN,0.05685441340906472,5.685441340906472
1993,CMNN,0.05445223900156648,5.445223900156648
1994,CMNN,0.05201731953425737,5.201731953425737
1995,CMNN,0.0497183818657162,4.97183818657162
1996,CMNN,0.04727004367871113,4.727004367871112
1997,CMNN,0.0449624437410614,4.49624437410614
1998,CMNN,0.04297309917746073,4.297309917746073
1999,CMNN,0.04108911491068323,4.108911491068323
2000,CMNN,0.03978567571759184,3.978567571759184
2001,CMNN,0.03886408968692612,3.8864089686926118
2002,CMNN,0.037969200023943994,3.7969200023943994
2003,CMNN,0.03718572236337503,3.718572236337503
2004,CMNN,0.03636596870328279,3.636596870328279
2005,CMNN,0.03609761832650882,3.609761832650882
2006,CMNN,0.035642698496805014,3.5642698496805014
2007,CMNN,0.03503172317174519,3.503172317174519
2008,CMNN,0.034445576165374914,3.4445576165374914
2009,CMNN,0.03377834290549209,3.3778342905492087
2010,CMNN,0.032926870179520784,3.2926870179520784
2011,CMNN,0.03176547295118115,3.176547295118115
2012,CMNN,0.030686815885878183,3.0686815885878183
2013,CMNN,0.030272553150868187,3.0272553150868187
2014,CMNN,0.02919039544083568,2.919039544083568
2015,CMNN,0.02810666456555677,2.810666456555677
2016,CMNN,0.02650666200171048,2.650666200171048
2017,CMNN,0.025529401723683787,2.5529401723683787
2018,CMNN,0.02458269277943992,2.458269277943992
2019,CMNN,0.02363990491482637,2.363990491482637
2020,CMNN,0.02417987753709916,2.417987753709916
2021,CMNN,0.05994265817169098,5.994265817169097
2022,CMNN,0.03177239704003021,3.177239704003021
2023,CMNN,0.021187210870332707,2.1187210870332707
1990,NCD,0.2501852741724847,25.01852741724847
1991,NCD,0.24873492638581518,24.873492638581517
1992,NCD,0.24701380001318052,24.70138000131805
1993,NCD,0.244817828956842,24.4817828956842
1994,NCD,0.24219387437067763,24.219387437067763
1995,NCD,0.2395311855062009,23.95311855062009
1996,NCD,0.2368344764043916,23.68344764043916
1997,NCD,0.23420702071482924,23.420702071482925
1998,NCD,0.23260577584128694,23.260577584128693
1999,NCD,0.22954609850412822,22.954609850412822
2000,NCD,0.22761711346583424,22.761711346583425
2001,NCD,0.2266983901701054,22.66983901701054
2002,NCD,0.22687919460814154,22.687919460814154
2003,NCD,0.22657987166233262,22.657987166233262
2004,NCD,0.22635072981980997,22.635072981980997
2005,NCD,0.22647014347573302,22.647014347573304
2006,NCD,0.2264046279007922,22.64046279007922
2007,NCD,0.22692746204394965,22.692746204394965
2008,NCD,0.22712924440704774,22.712924440704775
2009,NCD,0.2273839143024653,22.73839143024653
2010,NCD,0.22696382789486214,22.696382789486215
2011,NCD,0.22527957937396037,22.52795793739604
2012,NCD,0.22485855764351437,22.485855764351438
2013,NCD,0.22501986543296204,22.501986543296205
2014,NCD,0.22389132546534296,22.389132546534295
2015,NCD,0.22339958819530426,22.339958819530427
2016,NCD,0.2229570547066051,22.295705470660508
2017,NCD,0.2212177163179494,22.12177163179494
2018,NCD,0.22082449926643777,22.082449926643775
2019,NCD,0.22040408601557737,22.040408601557736
2020,NCD,0.21824398436441073,21.824398436441072
2021,NCD,0.20707314491630324,20.707314491630324
2022,NCD,0.21519532394530538,21.51953239453054
2023,NCD,0.2179857950150459,21.79857950150459
