location_name,ncd_death_rate_asr,ncd_death_rate_asr_lo,ncd_death_rate_asr_hi
Myanmar,926.887786806412,859.6402198128544,994.561771768616
Lao PDR,767.6805954997578,702.428050796416,839.0238737267475
Timor-Leste,639.6616715204299,580.4531353849326,707.3808800816366
Philippines,615.2632876782724,596.1866994571551,635.0587494920491
Indonesia,567.7801039018887,528.4294067673587,618.7111440509509
Cambodia,540.6278521896644,495.5591759571849,585.1639375977696
Malaysia,501.0951353927223,477.0476291548605,526.856410574241
Vietnam,492.2771357293784,450.5135126832341,531.3239705648899
Brunei Darussalam,491.1008240010142,468.5083243443163,513.5532754939491
Thailand,406.05308019287503,393.53900114258346,420.1797472535745
Singapore,235.99560911953583,226.4360712593967,247.02804554638595
