country,yll_rate,yld_rate,ratio
Lao PDR,36318.425358330416,9841.03874618124,3.6905073026385122
Myanmar,37840.652699147126,10830.66253547372,3.4938446817272215
Timor-Leste,28566.54316668732,10353.73705652385,2.7590562722169625
Philippines,23919.56614215732,10228.16501241106,2.338597990268327
Indonesia,24038.42791717309,10280.86294186098,2.338172199465369
Cambodia,22510.4784725558,10565.87167412551,2.1304894822526688
Vietnam,17687.694041206145,9599.01309002062,1.8426575602438466
Thailand,16483.827257309484,10205.09248532006,1.6152550582977403
Malaysia,15691.152937232326,9996.74651545982,1.5696259691056678
Brunei Darussalam,13758.47215270596,10248.02437587526,1.342548734085235
Singapore,6276.737544765727,9426.56418993214,0.6658563415363442
