metric,1990,2000,2010,2023,AAPC_%,AAPC_95CI
CMNN age-std DALY rate (per 100k),13295.9,8549.0,5870.2,4022.1,-4.63,"-4.80, -4.46"
NCD age-std DALY rate (per 100k),21688.2,19960.4,19742.8,19282.8,-0.37,"-0.45, -0.30"
Injuries age-std DALY rate (per 100k),5942.0,5409.9,4683.0,3981.8,-1.13,"-1.24, -1.03"
CMNN share of total DALYs (%),32.49,25.2,19.38,14.74,-3.44,"-3.54, -3.33"
NCD share of total DALYs (%),52.99,58.85,65.17,70.67,1.09,"1.04, 1.15"
Injuries share of total DALYs (%),14.52,15.95,15.46,14.59,0.17,"0.03, 0.30"
CMNN/NCD ratio,0.613,0.428,0.297,0.209,-4.41,"-4.57, -4.25"
30q70 NCD probability (%),25.02,22.76,22.7,21.8,-0.25,"-0.33, -0.16"
30q70 CMNN probability (%),6.18,3.98,3.29,2.12,-5.86,"-6.25, -5.47"
YLL rate (per 100k),30304.5,23903.6,20687.4,17687.7,-1.79,"-1.87, -1.71"
YLD rate (per 100k),10621.7,10015.7,9608.7,9599.0,-0.34,"-0.37, -0.30"
YLL/YLD ratio,2.85,2.39,2.15,1.84,-1.51,"-1.59, -1.43"
